rank,symbol,date,close,dma_200,dma_50,distance_to_200dma_pct,above_200dma,above_50dma,dma_200_rising,golden_trend,rsi_14,volume_ratio,high_52w,low_52w,distance_to_52w_high_pct,distance_from_52w_low_pct,high_level_score,high_level_setup,high_level_reasons,break_below_date,breakdown_low,recovery_from_breakdown_low_pct,recovery_score,score,setup,recovery_candidate,recovery_reasons,prior_high_before_breakdown,prior_high_date,distance_to_prior_high_pct,prior_high_breakout,near_prior_high,prior_high_score,prior_high_setup,prior_high_reasons,trend_score,trend_reasons,portfolio_eligible,portfolio_technical_score,trend_target,trend_upside_pct,stop_loss_10pct,reward_risk,combined_setup,pe_ratio,pb_ratio,eps,dividend_yield,market_cap,roe,roce,operating_margin,net_profit_margin,debt_to_equity,current_ratio,quick_ratio,interest_coverage,revenue_growth,eps_growth,profit_growth,fundamental_score,overall_portfolio_score,portfolio_final_eligible
4,SIGMAADV,2026-08-27,763.65,325.21,610.49,134.81,True,True,True,True,67.58,2.65,763.65,126.73,0.0,502.58,105,52W HIGH BREAKOUT,at/new 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,231.0,2025-11-04,230.58,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,101.75,833.61,9.16,687.29,0.92,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,101.75,True
5,SOLARINDS,2026-08-27,20580.0,15448.07,18734.54,33.22,True,True,True,True,68.29,1.32,20649.0,11646.0,-0.33,76.71,100,AT 52W HIGH,within 2% of 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,17820.0,2025-06-30,15.49,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,100.0,21724.86,5.56,18522.0,0.56,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,100.0,True
6,OAL,2026-08-27,428.95,308.07,352.49,39.24,True,True,True,True,72.27,7.4,432.55,228.0,-0.83,88.14,100,AT 52W HIGH,within 2% of 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,374.3,2025-10-27,14.6,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,100.0,466.79,8.82,386.06,0.88,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,100.0,True
7,TITAN,2026-08-27,5139.3,4284.69,4748.97,19.95,True,True,True,True,69.89,1.25,5186.7,3303.1,-0.91,55.59,100,AT 52W HIGH,within 2% of 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,3740.0,2025-09-04,37.41,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,100.0,5306.01,3.24,4625.37,0.32,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,100.0,True
8,JSWSTEEL,2026-08-27,1337.5,1221.51,1265.05,9.5,True,True,True,True,64.43,1.5,1351.0,1022.3,-1.0,30.83,100,AT 52W HIGH,within 2% of 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,1284.7,2026-02-25,4.11,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,100.0,1385.33,3.58,1203.75,0.36,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,100.0,True
9,PRUDENT,2026-08-27,3473.5,2697.85,3126.13,28.75,True,True,True,True,67.5,1.28,3509.9,2121.0,-1.04,63.77,100,AT 52W HIGH,within 2% of 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,3098.0,2025-07-31,12.12,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,100.0,3683.13,6.04,3126.15,0.6,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,100.0,True
10,IOLCP,2026-08-27,193.07,106.0,155.9,82.15,True,True,True,True,74.53,2.31,195.64,67.19,-1.31,187.35,100,AT 52W HIGH,within 2% of 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,126.66,2025-09-19,52.43,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,100.0,213.57,10.62,173.76,1.06,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,100.0,True
11,ZYDUSLIFE,2026-08-27,1189.2,986.08,1128.07,20.6,True,True,True,True,62.63,1.85,1205.0,835.5,-1.31,42.33,100,AT 52W HIGH,within 2% of 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,1059.05,2025-09-19,12.29,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,100.0,1259.63,5.92,1070.28,0.59,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,100.0,True
12,DCBBANK,2026-08-27,217.51,183.24,189.88,18.7,True,True,True,True,71.09,3.38,220.5,119.51,-1.36,82.0,100,AT 52W HIGH,within 2% of 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,205.9,2026-04-27,5.64,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,100.0,232.5,6.89,195.76,0.69,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,100.0,True
13,OMAXE,2026-08-27,113.38,79.2,89.59,43.16,True,True,True,True,73.57,1.39,115.0,62.5,-1.41,81.41,100,AT 52W HIGH,within 2% of 52W high; above 200DMA; above 50DMA; 200DMA rising; healthy RSI; volume confirmation,,,,0,0,NOT A RECOVERY,False,,93.7,2026-05-08,21.0,True,False,100,PRIOR HIGH BREAKOUT,above prior high; above 200DMA; above 50DMA; RSI >=50; volume >=1.2x,100,above 200DMA; above 50DMA; 200DMA rising; 50DMA > 200DMA; RSI >=50; volume >=1.2x,True,100.0,127.95,12.85,102.04,1.28,PRIOR HIGH BREAKOUT,,,,,,,,,,,,,,,,,,100.0,True
