portfolio_rank,symbol,date,close,dma_200,distance_to_200dma_pct,prior_high_before_breakdown,distance_to_prior_high_pct,rsi_14,volume_ratio,calculated_technical_score,calculated_fundamental_score,combined_score,entry_price,quantity,allocation_amount,actual_investment,portfolio_weight_percent,stop_loss,maximum_loss,trend_target,expected_gain_percent,expected_gain_amount,risk_classification,setup
1,SREEL,2026-09-07,279.4,209.71,33.23,241.57,15.66,72.6,2.4,70.0,100.0,82.0,279.4,357,100000.0,99745.8,9.97,251.46,9974.58,329.69,18.0,17954.24,HIGH CONVICTION,NOT A RECOVERY
2,CUB,2026-09-07,238.48,205.82,15.87,245.38,-2.81,63.09,2.37,70.0,100.0,82.0,238.48,419,100000.0,99923.12,9.99,214.63,9992.31,286.18,20.0,19984.62,HIGH CONVICTION,NOT A RECOVERY
3,GNFC,2026-09-07,597.9,493.76,21.09,539.0,10.93,65.45,1.87,72.5,94.0,81.1,597.9,167,100000.0,99849.3,9.98,538.11,9984.93,723.46,21.0,20968.35,HIGH CONVICTION,NOT A RECOVERY
4,KTKBANK,2026-09-07,333.6,244.63,36.37,220.4,51.36,60.89,0.39,61.25,100.0,76.75,333.6,299,100000.0,99746.4,9.97,300.24,9974.64,393.65,18.0,17954.35,MODERATE CONVICTION,NOT A RECOVERY
5,MAHABANK,2026-09-07,85.0,73.14,16.21,58.79,44.58,58.4,0.74,61.25,100.0,76.75,85.0,1176,100000.0,99960.0,10.0,76.5,9996.0,99.45,17.0,16993.2,MODERATE CONVICTION,NOT A RECOVERY
6,ANTELOPUS,2026-09-07,985.3,647.29,52.22,720.0,36.85,67.29,1.39,70.0,84.0,75.6,985.3,101,100000.0,99515.3,9.95,886.77,9951.53,1172.51,19.0,18907.91,MODERATE CONVICTION,NOT A RECOVERY
7,IMPAL,2026-09-07,1114.2,1054.95,5.62,1128.1,-1.23,53.31,2.85,68.75,85.0,75.25,1114.2,89,100000.0,99163.8,9.92,1002.78,9916.38,1292.47,16.0,15866.21,MODERATE CONVICTION,NOT A RECOVERY
8,GFLLIMITED,2026-09-07,62.17,49.73,25.02,62.84,-1.07,72.87,1.06,58.75,100.0,75.25,62.17,1608,100000.0,99969.36,10.0,55.95,9996.94,71.5,15.01,15005.4,MODERATE CONVICTION,NOT A RECOVERY
9,CPCAP,2026-09-07,135.89,103.74,30.99,133.9,1.49,66.65,2.46,75.0,74.0,74.6,135.89,735,100000.0,99879.15,9.99,122.3,9987.92,161.71,19.0,18977.04,MODERATE CONVICTION,NOT A RECOVERY
10,ARROWGREEN,2026-09-07,805.1,550.0,46.38,659.2,22.13,65.43,0.64,61.25,94.0,74.35,805.1,124,100000.0,99832.4,9.98,724.59,9983.24,950.02,18.0,17969.83,MODERATE CONVICTION,NOT A RECOVERY
